accion_id,eje_id,eje_completo,objetivo_estrategico,area_programa,titulo_accion,descripcion,indicadores,linea_base_2024,meta_2028,meta_2035,plazo_codigo,plazo_completo,responsable_principal,responsable_completo,financiamiento_principal,financiamiento_completo,ods_principal,ods_total_n,beneficia_nna,beneficia_mujeres,beneficia_adulto_mayor,beneficia_discapacidad,es_inclusiva
41,,,,Salud Recreación y Bienestar Social,Espacios de Autocuidado en Centros de Salud (Salud Mental),"Crear espacios de autocuidado y bienestar emocional en centros de salud comunales, con talleres de manejo del estrés, mindfulness, actividad física y apoyo psicológico grupal para usuarios y funcionarios.",Número de espacios de autocuidado implementados; Usuarios atendidos mensualmente; Índice de satisfacción usuaria en salud mental,0 espacios formales de autocuidado en centros de salud,3 espacios operativos en CESFAM principales + talleres semanales,Espacios de autocuidado en 100% centros de salud + programa permanente,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal,Municipal,Municipal + MINSAL + SENDA,3,1,1,1,1,0,1
42,,,,Salud Recreación y Bienestar Social,Implementación EDICEP – Nuevas Estrategias de Salud Primaria (Piloto),"Poner en marcha el modelo EDICEP como piloto en los centros de salud primaria de Rengo, integrando equipos multidisciplinarios de intervención comunitaria, continuidad asistencial y evaluación participativa con la población de 65.786 habitantes, para mejorar indicadores de resolutividad y satisfacci",Número de CESFAM con modelo EDICEP implementado; Tasa de resolución en APS; Satisfacción usuaria,0 centros con modelo EDICEP,2 CESFAM piloto con modelo EDICEP operativo,100% red APS comunal con modelo EDICEP integrado,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + SECPLAN,Municipal,Municipal + MINSAL + Servicio Salud O'Higgins,3,1,0,0,0,0,0
43,,,,Salud Recreación y Bienestar Social,Implementación de Exámenes Preventivos,"Ampliar la cobertura de exámenes de medicina preventiva (EMPA/EMPAM) en la comuna, con énfasis en detección temprana de enfermedades crónicas, salud mental y factores de riesgo en población vulnerable.",Cobertura EMPA y EMPAM; Tasa de detección temprana de patologías crónicas; Número de exámenes realizados en operativos comunitarios,"Cobertura EMPA 45%, EMPAM 55%","EMPA 70%, EMPAM 80% + operativos en ferias y localidades","EMPA 90%, EMPAM 95% + sistema de seguimiento digital",C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal,Municipal,Municipal + MINSAL + FONASA,3,1,0,0,1,0,1
44,,,,Salud Recreación y Bienestar Social,"Programa de Envejecimiento Activo""Rengo Activo""","Desarrollar un programa integral de envejecimiento activo destinado a los 8.796 adultos mayores de Rengo, con talleres semanales de actividad fisica funcional, estimulación cognitiva, participación social, voluntariado senior y acceso a cultura y recreación en las sedes de las 330 organizaciones com",Adultos mayores participantes; Talleres realizados mensualmente; Evaluación funcional de participantes,Actividades dispersas sin programa integral de envejecimiento activo,Programa en 5 sectores + 500 adultos mayores participantes regulares,"Cobertura comunal + centros de envejecimiento activo + 1,500 participantes",C,Corto (2025-2028),Oficina Adulto Mayor,Oficina Adulto Mayor + Depto. Deportes + Depto. Salud,FNDR,Municipal + SENAMA + IND + FNDR,3,3,0,0,1,0,1
45,,,,Salud Recreación y Bienestar Social,"Programa de Nutrición Adultos Mayores""Nutriendo a Nuestros Mayores""","Fortalecer la nutrición de los adultos mayores de Rengo mediante evaluación nutricional individualizada en CESFAM, entrega de complementos alimentarios, talleres de alimentación saludable en sedes vecinales y creación de huertos comunitarios senior en localidades urbanas y rurales de la comuna.",Adultos mayores con evaluación nutricional; Complementos alimentarios entregados; Talleres de alimentación saludable realizados,Programa alimentario complementario (PACAM) con cobertura parcial,100% cobertura PACAM + evaluación nutricional integral + talleres mensuales,Programa nutricional integral + huertos senior + seguimiento personalizado,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + Oficina Adulto Mayor,Municipal,Municipal + MINSAL + JUNAEB + INTA,2,3,0,0,1,0,1
46,,,,Salud Recreación y Bienestar Social,"Programas Deportivos Comunitarios""Rengo Activo y Saludable""","Activar programas deportivos y de actividad física comunitaria en plazas, parques y los recintos deportivos de Rengo, con enfasis en adultos mayores, personas con discapacidad y familias de sectores vulnerables, contribuyendo a elevar los 1.96 m2/hab de áreas verdes como espacios de vida activa.",Número de programas deportivos comunitarios; Participantes regulares; Cobertura territorial de actividades,Programas deportivos centralizados con cobertura limitada,Programas en 80% sectores + talleres para adultos mayores y PcD,Cobertura 100% territorial + infraestructura deportiva mejorada + ligas comunales,C,Corto (2025-2028),Depto. Deportes,Depto. Deportes + Depto. Salud,FNDR,Municipal + IND + MINDEP + FNDR,3,3,0,0,1,1,1
47,,,,Salud Recreación y Bienestar Social,"Red de Cuidados para Adultos Mayores con Dependencia""Rengo Cuida""","Crear red comunal de cuidados para adultos mayores con dependencia, articulando servicios domiciliarios, respiro para cuidadores, ayudas técnicas y coordinación con red de salud formal.",Adultos mayores dependientes en red de cuidados; Servicios de respiro otorgados; Ayudas técnicas entregadas,Cuidados fragmentados sin red articulada,Red operativa en 5 sectores + 200 familias apoyadas,Red comunal completa + centro de cuidados + 500 familias en programa,M,Mediano (2028-2032),Oficina Adulto Mayor,Oficina Adulto Mayor + Depto. Salud + DIDECO,Municipal,Municipal + SENAMA + MINSAL + MDSF,3,2,0,1,1,0,1
48,,,,Salud Recreación y Bienestar Social,Reforzar Modelo de Salud Familiar,"Fortalecer el Modelo de Salud Familiar en toda la red comunal, consolidando equipos de cabecera, visitas domiciliarias integrales y planes de salud familiar con enfoque biopsicosocial y territorial.",Porcentaje de familias con plan de salud familiar activo; Número de visitas domiciliarias integrales; Cobertura de equipos de cabecera,60% familias inscritas con plan de salud familiar,85% familias con plan activo + visitas domiciliarias programadas,100% familias con plan integral + seguimiento continuo,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal,Municipal,Municipal + MINSAL,3,2,0,1,1,0,1
49,,,,Salud Recreación y Bienestar Social,Rengo Previene: Exámenes y Vacunaciones en Ferias,"Realizar operativos de salud preventiva en ferias libres y espacios comunitarios de alta concurrencia, ofreciendo exámenes rápidos, vacunaciones, toma de presión y educación sanitaria.",Número de operativos en ferias realizados; Personas atendidas por operativo; Tasa de detección de patologías,Operativos esporádicos sin programación sistemática,Operativos quincenales en principales ferias + registro digital,Operativos semanales en toda la comuna + seguimiento de casos detectados,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal,Municipal,Municipal + MINSAL,3,1,0,0,0,0,0
50,,,,Salud Recreación y Bienestar Social,"Salud Mental Adultos Mayores""Rengo Te Escucha""","Crear programa especializado de salud mental para adultos mayores, abordando depresión, ansiedad, duelo, soledad y deterioro cognitivo mediante atención psicológica, grupos terapéuticos y visitas domiciliarias.",Adultos mayores en programa de salud mental; Consultas psicológicas realizadas; Tamizaje de depresión geriátrica aplicado,Atención de salud mental geriátrica sin programa específico,Programa operativo en CESFAM + 300 adultos mayores atendidos/año,Cobertura comunal + equipo geriátrico-psiquiátrico + 800 atendidos/año,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + Oficina Adulto Mayor,Municipal,Municipal + MINSAL + SENAMA,3,2,0,0,1,0,1
51,,,,Salud Recreación y Bienestar Social,"Servicios de Atención Médica a Domicilio""Salud Cerca de Ti""","Crear programa de atención médica domiciliaria para personas con dependencia severa, adultos mayores postrados y pacientes crónicos que no pueden trasladarse a centros de salud.",Número de pacientes en programa domiciliario; Visitas domiciliarias mensuales; Reducción de hospitalizaciones evitables,Programa domiciliario con cobertura limitada,Cobertura 80% pacientes postrados + equipo multidisciplinario,100% cobertura + telemonitoreo + coordinación con hospital,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal,Municipal,Municipal + MINSAL + Servicio Salud O'Higgins,3,2,0,0,1,0,1
52,,,,Salud Recreación y Bienestar Social,"Sistema Toma de Hora vía Celular y Web""Rengo Sin Espera""","Desplegar un sistema digital de agendamiento de horas médicas vía aplicación móvil y plataforma web para los usuarios de la red de salud comunal de Rengo, eliminando filas presenciales en CESFAM y postas rurales, con confirmacion automatica, recordatorios y modulo de cancelacion para reducir el ause",Porcentaje de horas agendadas digitalmente; Reducción de tiempos de espera; Satisfacción usuaria digital,Agendamiento mayoritariamente presencial y telefónico,60% horas agendadas vía digital + app móvil operativa,90% agendamiento digital + integración con ficha clínica electrónica,C,Corto (2025-2028),Depto. Salud Municipal,Depto. Salud Municipal + Informática,FNDR,Municipal + MINSAL + FNDR,3,2,0,0,0,0,0
53,,,OE 1.5 Reducir consumo de alcohol y drogas mediante prevención y rehabilitación comunitaria,Salud Recreación y Bienestar Social,Apoyo Psicológico en Escuelas,"Fortalecer la dotación de profesionales de salud mental en establecimientos educacionales, implementando programas de apoyo psicológico, detección temprana y derivación oportuna para estudiantes.",Número de psicólogos en establecimientos; Estudiantes atendidos; Tasa de derivación oportuna a red de salud,Cobertura parcial de apoyo psicológico escolar,1 psicólogo por establecimiento municipal + protocolos de detección,Equipo multidisciplinario por establecimiento + programa preventivo integral,C,Corto (2025-2028),DAEM,DAEM + Depto. Salud Municipal + OPD,Municipal,Municipal + MINEDUC + MINSAL,3,2,1,0,0,0,1
54,,,,Salud Recreación y Bienestar Social,Programa de Seguridad Digital para Niños y Adolescentes,"Ejecutar un programa de educación en seguridad digital para niños, niñas y adolescentes en los 32 establecimientos educacionales de la comuna, abordando ciberbullying, grooming, uso responsable de redes sociales y adicciones digitales, con talleres para apoderados y protocolos de intervención escola",Número de establecimientos con programa implementado; NNA capacitados; Casos de ciberbullying reportados y atendidos,0 establecimientos con programa formal de seguridad digital,80% establecimientos municipales con programa + capacitación docentes,100% establecimientos + extensión a comunidad + protocolo de atención,C,Corto (2025-2028),DAEM,DAEM + Depto. Salud + OPD,Municipal,Municipal + SENDA + SUBTEL + MINEDUC,3,3,1,0,0,0,1
55,2,Eje 2: Desarrollo Económico Comunal,OE 2.1 Fortalecer el Ecosistema Productivo y de Emprendimiento Local,Desarrollo Económico Comunal,Alianza Público-Privada: Incubación Proyectos,"Crear un programa de incubación de proyectos productivos con alianzas público-privadas, ofreciendo mentoría, financiamiento semilla y conexión con mercados.",Proyectos incubados; Participación público-privada; Impacto económico,0 programas de incubación local,1 programa; 10 proyectos incubados,1 programa consolidado; 30 proyectos; 15 empresas operativas,M,Mediano (2028-2032),SECPLAN,SECPLAN + OMIL,Municipal,CORFO + Municipal + PPP,8,3,0,0,0,0,0
56,,,,Desarrollo Económico Comunal,Centro Estratégico de Negocios,"Crear un centro de servicios empresariales que ofrezca asesoría legal, contable, financiera y de innovación a emprendedores y empresas de Rengo.",Empresas atendidas; Mejora en competitividad; Satisfacción de usuarios,0 centros de negocios municipales,1 centro operativo; 100 empresas atendidas,1 centro consolidado; 300 empresas/año; 80% satisfacción,M,Mediano (2028-2032),SECPLAN,SECPLAN + OMIL,Municipal,Municipal + CORFO + SERCOTEC + GORE,8,3,0,0,0,0,0
57,,,,Desarrollo Económico Comunal,Creación Centro Emprende Más,"Crear un centro de emprendimiento e innovación que ofrezca incubación, aceleración, mentoría y acceso a redes para startups y emprendedores de Rengo.",Emprendedores atendidos; Negocios creados; Satisfacción de usuarios,0 centros de emprendimiento,1 centro operativo; 50 emprendedores; 10 negocios,1 centro consolidado; 150 emprendedores/año; 30 negocios creados,M,Mediano (2028-2032),SECPLAN,SECPLAN + OMIL,Municipal,CORFO + Municipal + GORE,4,3,0,0,0,0,0
58,,,,Desarrollo Económico Comunal,Desarrollo Espacios de Comercio para Emprendedores,"Crear espacios de comercio tipo vega/abastecimiento para emprendedores locales, con infraestructura adecuada, servicios básicos y gestión asociativa.",Espacios comerciales habilitados; Empresarios beneficiados; Impacto en ventas,0 espacios comerciales municipales para emprendedores,1 espacio; 30 emprendedores,3 espacios; 80 emprendedores; $150M ventas anuales,M,Mediano (2028-2032),SECPLAN,SECPLAN + DIDECO,FNDR,FNDR + Municipal + SERCOTEC,8,3,0,0,0,0,0
59,,,,Desarrollo Económico Comunal,Edificio de Fomento Productivo: Cowork y Capacitación,"Estudiar la construir un edificio de fomento productivo con espacios de coworking, salas de capacitación, laboratorio de prototipado y oficinas de atención a emprendedores.",Progreso de construcción (%); Emprendedores usuarios; Startups creadas,0 espacios de coworking municipal,100% diseño; 30% construcción,100% operativo; 200 emprendedores/año; 20 startups creadas,L,Largo (2032-2035),SECPLAN,SECPLAN + DOM,FNDR,FNDR + CORFO + GORE + Municipal,8,3,1,0,0,0,1
60,,,,Desarrollo Económico Comunal,Feria Permanente de Productores Locales,"Establecer una feria semanal permanente de productores locales con productos agrícolas, artesanales y gastronómicos, fortaleciendo la cadena de valor local.",Ferias semanales realizadas; Ventas totales de productores; Participación de productores,Ferias esporádicas sin periodicidad,48 ferias/año; 40 productores; $80M ventas,48 ferias/año; 80 productores; $200M ventas; marca local,C,Corto (2025-2028),DIDECO,DIDECO + OMIL,Municipal,Municipal + INDAP + SERCOTEC,1,3,0,0,0,0,0
61,,,,Desarrollo Económico Comunal,Fomento a la Inversión,"Diseñar e implementar incentivos fiscales y administrativos para atraer inversiones productivas a Rengo, incluyendo reducción de patentes, ventanilla única y zonificación preferente.",Incentivos implementados; Monto de inversión atraída; Empleos generados,Sin política de incentivos a la inversión,Marco de incentivos aprobado; $300M inversión nueva,Política consolidada; $2.000M inversión acumulada; 200 empleos,M,Mediano (2028-2032),Alcaldía,Alcaldía + SECPLAN + DAF,Municipal,Municipal + CORFO + GORE,8,3,0,0,0,0,0
62,,,,Desarrollo Económico Comunal,Formalización y Regulación de Ferias Locales,"Formalizar y regular las ferias libres y temáticas de Rengo, mejorando condiciones sanitarias, tributarias y de infraestructura para comerciantes y consumidores.",Ferias formalizadas; Recaudación por permisos; Satisfacción de feriantes y usuarios,Ferias con regulación parcial,100% ferias formalizadas; $20M recaudacion,100% ferias reguladas; $50M recaudación; infraestructura mejorada,C,Corto (2025-2028),DOM,DOM + DAF,Municipal,Municipal,8,3,0,0,0,0,0
63,,,,Desarrollo Económico Comunal,Fortaleciendo el Futuro: Apoyo Microempresarios,"Brindar apoyo integral a microempresarios con mentorías, capacitación en formalización, marketing digital y acceso a microcréditos, reduciendo la informalidad económica.",Microempresarios apoyados; Incremento en ventas; Satisfacción de beneficiarios,Sin programa de apoyo a microempresarios,80 microempresarios; 20% aumento ventas,200 microempresarios; 30% formalización; $100M en ventas adicionales,C,Corto (2025-2028),OMIL,OMIL + DIDECO,Municipal,Municipal + SERCOTEC + FOSIS,1,3,1,0,0,0,1
64,,,,Desarrollo Económico Comunal,Rengo Destino de Oportunidades: Atracción de Inversiones,"Desarrollar una estrategia de atracción de inversiones que posicione a Rengo como destino competitivo, ofreciendo facilidades administrativas, información territorial y alianzas público-privadas.",Inversiones atraídas; Monto total invertido; Empleos generados; Diversificación productiva,Sin estrategia de atracción de inversiones,3 inversiones nuevas; $500M monto; 50 empleos,10 inversiones; $3.000M monto; 300 empleos directos,M,Mediano (2028-2032),SECPLAN,SECPLAN + Alcaldía,Municipal,Municipal + CORFO + GORE + PPP,8,3,0,0,0,0,0
65,,,,Desarrollo Económico Comunal,Rengo Impulsa tu Negocio: Fortalecimiento PYMEs,"Apoyar a PYMEs de Rengo con asistencia técnica, capacitación en gestión, acceso a financiamiento y vinculación con mercados, fortaleciendo el tejido productivo local.",PYMEs apoyadas; Crecimiento en ventas de PYMEs; Satisfacción de empresarios,Sin programa municipal de apoyo PYME,50 PYMEs apoyadas; 15% crecimiento promedio,150 PYMEs apoyadas; 25% crecimiento; red empresarial activa,C,Corto (2025-2028),OMIL,OMIL + SECPLAN,Municipal,Municipal + SERCOTEC + CORFO + GORE,8,3,0,0,0,0,0
66,,,OE 2.2 Mejorar la Empleabilidad y la Capacitación Laboral,Desarrollo Económico Comunal,Capacitación en Oficios para Reinserción Laboral,"Desarrollar programas de capacitación en oficios de alta demanda local (electricidad, gasfiteria, soldadura, mecanica, repostería) para personas desempleadas y en situación de vulnerabilidad de Rengo, articulados con SENCE y el sector productivo de las 4.829 empresas comunales para facilitar la rein",Personas capacitadas; Tasa de reinserción laboral; Oficios impartidos,50 personas capacitadas/año vía OMIL,150 personas/año; 55% reinserción; 8 oficios,300 personas/año; 65% reinserción; 15 oficios,C,Corto (2025-2028),OMIL,OMIL,Municipal,SENCE + FOSIS + Municipal,1,3,1,0,0,0,1
67,,,,Desarrollo Económico Comunal,Empoderamiento: Fortalecimiento Jefas de Hogar,"Apoyar a jefas de hogar con programas de emprendimiento, capacitación laboral, cuidado infantil y redes de apoyo para su inserción económica efectiva.",Mujeres beneficiarias; Participación económica activa; Satisfacción de beneficiarias,Programa Jefas de Hogar SERNAM con cobertura limitada,100 mujeres/año; 50% inserción laboral,250 mujeres/año; 65% inserción laboral; red de apoyo operativa,C,Corto (2025-2028),DIDECO,DIDECO + OMIL,Municipal,Municipal + SERNAM + PRODEMU + SENCE,1,3,1,1,0,0,1
68,,,,Desarrollo Económico Comunal,Fuerza Laboral Tengo: Formación SENCE,"Articular con SENCE una oferta de capacitación laboral en oficios demandados por el mercado local y regional de Rengo, priorizando sectores agroindustrial, servicios y comercio donde se concentra el 57% de empleo estacional, con certificación de competencias y vinculación directa con empleadores de ",Personas capacitadas; Tasa de empleo post-capacitación; Cursos realizados,120 capacitados/año vía OMIL,300 capacitados/año; 60% empleo post,600 capacitados/año; 70% empleo post; 30 oficios ofrecidos,C,Corto (2025-2028),OMIL,OMIL,Municipal,SENCE + Municipal + GORE,4,3,1,1,0,0,1
69,,,,Desarrollo Económico Comunal,Programa Capacitación Comerciantes Locales,"Capacitar a comerciantes del centro de Rengo y Rosario en marketing digital, gestión financiera, atención al cliente y comercio electrónico.",Comerciantes capacitados; Incremento en ventas post-capacitación; Satisfacción,0 programas de capacitación para comerciantes,100 comerciantes; 15% aumento ventas,300 comerciantes; 25% aumento ventas; 50% con venta online,C,Corto (2025-2028),OMIL,OMIL + DIDECO,Municipal,SERCOTEC + SENCE + Municipal,4,3,1,0,0,0,1
70,,,OE 2.3 Polos emprendimiento,Desarrollo Económico,Crear Polos Gastronómico y Comercial en Sector El Rodeo,"Diseñar y construir un polo gastronómico y comercial en el sector El Rodeo de Rengo, habilitando infraestructura para restaurantes, locales de productos típicos y espacios de encuentro que potencien la identidad culinaria de la Cuenca del Río Claro y diversifiquen la economía local más allá del empl",Polos comerciales creados; Emprendimientos formalizados; Ingresos generados por polo,Por establecer,Avance 50%,100% implementado,M,Mediano (2028-2032),Dir. Des. Económico,Dir. Des. Económico + Jurídica,Municipal,SERCOTEC + SENCE + Municipal,4,3,0,0,0,0,0
71,,,,Desarrollo Económico,R12: Ordenanza de Desarrollo Económico Local,"Regular fomento productivo, emprendimiento, mercados campesinos, turismo vitivinícola y economía local.",Ordenanza aprobada,Sin ordenanza desarrollo económico,Ordenanza + reglamento ferias,Evaluación impacto,L,Largo (2032-2035),Dir. Des. Económico,Dir. Des. Económico + Jurídica,Municipal,Municipal + CORFO,8,2,0,0,0,0,0
72,,,OE 2.3 Promover la Economía Solidaria y Colaborativa,Desarrollo Económico Comunal,Programa Sinergia Renguina,Crear un programa de intercambio de servicios vecinales y economía colaborativa que fortalezca la cohesión social y optimice recursos comunitarios.,Intercambios de servicios registrados; Participación vecinal; Índice de cohesión social,0 programas de economía colaborativa,1 programa piloto; 200 familias; 500 intercambios,1 programa consolidado; 800 familias; 3.000 intercambios/año,M,Mediano (2028-2032),DIDECO,DIDECO,Municipal,Municipal + FOSIS,1,3,1,0,0,1,1
73,3,Eje 3: Educacion y Capacitacion para el Desarrollo Humano,OE 3.1 Mejorar la Calidad y Convivencia en los Establecimientos Educacionales,Educación y Capacitación,Mejora Integral Trabajo Psicosocial,"Coordinar el trabajo psicosocial del DAEM con redes de infancia, salud y protección social para atención integral de estudiantes y familias vulnerables.",Atenciones integrales realizadas; Bienestar de familias atendidas; Derivaciones efectivas,Coordinación parcial DAEM-redes,Protocolo intersectorial operativo; 500 familias atendidas,1.000 familias/año; red integrada; 90% derivaciones efectivas,C,Corto (2025-2028),DAEM,DAEM + Depto. Salud + DIDECO,Municipal,Municipal + SENAME + Mejor Niñez + MINEDUC,1,3,1,1,1,0,1
74,,,,Educación y Capacitación,Mejora Profesionales Psicosociales,"Fortalecer los equipos psicosociales de establecimientos educacionales municipales con más profesionales (psicólogos, trabajadores sociales, fonoaudiólogos) y mejores condiciones laborales.",Profesionales contratados; Atenciones psicosociales realizadas; Bienestar estudiantil,Equipos psicosociales insuficientes en DAEM,50% aumento dotación; 1.500 atenciones/año,100% cobertura; 3.000 atenciones/año; protocolo unificado,C,Corto (2025-2028),DAEM,DAEM,Municipal,Municipal + SEP + PIE + MINEDUC,3,3,1,1,0,0,1
75,,,,Educación y Capacitación,"Política Comunal de Convivencia Educativa ""Mejor Comunidad""","Diseñar e implementar una política comunal de convivencia educativa que prevenga el bullying, promueva el buen trato y genere ambientes escolares seguros e inclusivos.",Incidentes de violencia escolar; Participación en programas de convivencia; Satisfacción de comunidad educativa,"23,75% NNA con experiencia de bullying",Política aprobada; 15% reducción bullying,8% bullying; 90% escuelas con programa activo; 85% satisfacción,C,Corto (2025-2028),DAEM,DAEM,Municipal,Municipal + MINEDUC + SENDA,4,3,1,0,0,1,1
76,,,,Educación y Capacitación,"Talleres ""Campamentos Invierno/Verano"" y After School","Organizar talleres extracurriculares y campamentos durante vacaciones de invierno y verano, más programas After School en los 32 establecimientos educacionales de Rengo, ofreciendo actividades artísticas, deportivas, científicas y tecnológicas que complementen la formación de estudiantes y apoyen la",Talleres ofrecidos; Participación de estudiantes; Rendimiento académico asociado,Talleres esporádicos sin programa formal,20 talleres/año; 500 estudiantes,40 talleres/año; 1.200 estudiantes; mejora 10% rendimiento,C,Corto (2025-2028),DAEM,DAEM + DIDECO,Municipal,Municipal + MINEDUC + CNCA,4,3,1,0,1,0,1
77,,,OE 3.2 Modernizar la Infraestructura y Equipamiento Educativo,Educación y Capacitación,"Fortalecimiento Educación Parvularia ""Las Semillas de Rengo""","Fortalecer la educación parvularia municipal con mejoras en infraestructura, material didáctico, capacitación de educadoras y ampliación de cobertura.",Mejoras en establecimientos parvularios; Indicadores de desarrollo infantil; Participación de apoderados,"50,9% cobertura preescolar",65% cobertura; 3 jardines mejorados,80% cobertura; 100% jardines municipales mejorados; estándares JUNJI,M,Mediano (2028-2032),DAEM,DAEM,Municipal,Municipal + JUNJI + Integra + MINEDUC,4,3,1,0,0,0,1
78,,,,Educación y Capacitación,Mejoramiento Calidad e Infraestructura Educativa,"Mejorar la infraestructura y equipamiento de establecimientos educacionales municipales, incluyendo reparaciones, laboratorios, bibliotecas y tecnología educativa.",Establecimientos mejorados; Satisfacción de comunidad educativa; Indicadores de calidad educativa,Sin plan de mejoramiento integral,5 establecimientos mejorados; 80% satisfacción,100% establecimientos mejorados; 90% satisfacción; mejora SIMCE,M,Mediano (2028-2032),DAEM,DAEM + DOM,FNDR,FNDR + MINEDUC + Municipal,4,3,0,0,0,0,0
79,,,,Educación y Capacitación,"Potenciar Liceos ""Educación del Futuro""","Modernizar liceos municipales con infraestructura tecnológica, laboratorios, talleres técnico-profesionales y ampliación de cupos para enseñanza media.",Infraestructura modernizada; Resultados académicos; Cupos disponibles en I medio,Liceos con infraestructura desactualizada,2 liceos modernizados; 10% mejora resultados,100% liceos modernizados; 20% mejora SIMCE; ampliación cupos,M,Mediano (2028-2032),DAEM,DAEM + DOM,FNDR,FNDR + MINEDUC + Municipal + FAE,4,3,1,0,0,0,1
80,,,OE 3.3 Fortalecer el Acceso a la Educación Superior y Continua,Educación y Capacitación,Administración Educacional: Traspaso Eficiente,"Gestionar el traspaso de la educación municipal al Servicio Local de Educación Pública (SEP) de manera transparente, participativa y sin interrupciones de servicio.",Procesos de traspaso completados; Transparencia percibida; Satisfacción de funcionarios,Traspaso a SLEP pendiente,Plan de traspaso aprobado; 50% procesos completados,100% traspaso completado; continuidad de servicio; 80% satisfacción,M,Mediano (2028-2032),DAEM,DAEM + Alcaldía,Municipal,Municipal + MINEDUC + SLEP,4,3,0,0,0,0,0
81,,,,Educación y Capacitación,Alianzas Educativas para el Futuro,"Establecer alianzas con universidades, centros de formación técnica e instituciones de investigación para mejorar la calidad educativa y ampliar oportunidades de formación.",Alianzas formalizadas; Proyectos conjuntos; Impacto en calidad educativa,1 alianza parcial con UOH,5 alianzas; 3 proyectos conjuntos,10 alianzas; 8 proyectos; programa de prácticas activo,M,Mediano (2028-2032),DAEM,DAEM + SECPLAN,Municipal,Municipal + MINEDUC + Universidades + GORE,4,3,1,0,0,0,1
82,,,,Educación y Capacitación,"Capacitaciones Adultos ""Rengo Te Capacita""","Ofrecer cursos de capacitación para adultos mayores en alfabetización digital, idiomas, manualidades y habilidades prácticas, promoviendo el aprendizaje permanente.",Adultos mayores capacitados; Participación en cursos; Habilidades adquiridas,0 programas formales de capacitación para adultos mayores,100 adultos mayores/año; 6 cursos,300 adultos mayores/año; 12 cursos; 80% alfabetización digital,C,Corto (2025-2028),DIDECO,DIDECO + OMIL,Municipal,Municipal + SENAMA + SENCE,4,3,0,0,1,1,1
83,,,,Educación y Capacitación,Escuela Empoderamiento para Padres,"Crear una escuela para padres y apoderados con talleres sobre desarrollo infantil, habilidades parentales, convivencia digital y apoyo al aprendizaje en el hogar.",Talleres realizados; Participación de padres y apoderados; Satisfacción de familias,0 programas formales de escuela para padres,12 talleres/año; 300 padres,24 talleres/año; 800 padres; 85% satisfacción,C,Corto (2025-2028),DAEM,DAEM + DIDECO,Municipal,Municipal + MINEDUC + SENDA,4,3,1,1,0,0,1
84,,,,Educación y Capacitación,"Fomento Educación Superior ""Formación para el Futuro""","Crear un programa de orientación vocacional, becas municipales y apoyo a la postulación a beneficios estatales (FUAS, Gratuidad, Becas Chile) para egresados de los establecimientos de Rengo, mejorando el acceso a educación superior desde una comuna con 76% de matrícula municipal y PAES promedio de 8",Matrícula en educación superior; Programas de orientación realizados; Empleabilidad de egresados,39% acceso a educación superior,45% acceso; 300 orientaciones/año,55% acceso; 500 orientaciones/año; 80% empleabilidad egresados,M,Mediano (2028-2032),DAEM,DAEM + OMIL,Municipal,Municipal + MINEDUC + Universidades + JUNAEB,4,3,1,0,0,0,1
85,,,,Educación y Capacitación,Mejoramiento Alianza Preuniversitaria,"Fortalecer el programa preuniversitario municipal con más cupos, tutorías personalizadas y convenios con universidades para facilitar el acceso a educación superior.",Estudiantes en programa; Ingreso a universidades; Satisfacción de beneficiarios,Preuniversitario municipal con cobertura limitada,200 estudiantes/año; 60% ingreso universidad,400 estudiantes/año; 75% ingreso; convenios con 5 universidades,C,Corto (2025-2028),DAEM,DAEM,Municipal,Municipal + MINEDUC + Universidades,4,3,1,0,0,0,1
86,,,,Educación y Capacitación,Rescatando Oficios Tradicionales,"Crear un programa de formación en oficios tradicionales (herrería, talabartería, tejido, alfarería) que preserve saberes ancestrales y genere oportunidades económicas.",Capacitaciones en oficios realizadas; Participación de aprendices; Empleabilidad en oficios,0 programas de oficios tradicionales,3 oficios enseñados; 60 aprendices,8 oficios; 200 aprendices; feria de oficios anual,M,Mediano (2028-2032),DIDECO,DIDECO + OMIL,Municipal,Municipal + CNCA + Fondart + SENCE,4,3,1,0,0,0,1
